Poltava  (2423,805)  (2468,824)  (2417,850)  (2368,829)  (2370,775)  (2419,757)  (2470,772)  (2469,868)  | overflowToLeft=false
Belarus Brest  (706,138)  (754,129)  (800,140)  (857,141)  (917,150)  (968,173)  (1017,168)  (1072,170)  | overflowToLeft=false
Crimea  (2517,2192)  (2467,2162)  (2512,2147)  (2565,2172)  (2566,2228)  (2519,2248)  (2467,2247)  (2469,2205)  | overflowToLeft=false
Ivano-Frankivsa  (556,1159)  (509,1119)  (560,1103)  (610,1126)  (615,1180)  (574,1222)  (529,1205)  (496,1164)  | overflowToLeft=false
Sumy  (2431,436)  (2476,444)  (2436,482)  (2381,464)  (2383,420)  (2425,381)  (2473,393)  (2479,491)  | overflowToLeft=false
Belarus Gomel  (1607,263)  (1668,248)  (1727,220)  (1707,166)  (1661,195)  (1604,210)  (1551,231)  (1578,163)  | overflowToLeft=false
City of Kyiv  (1779,595)  (1716,634)  (1718,695)  (1758,734)  (1822,736)  (1857,688)  (1856,637)  (1833,595)  | overflowToLeft=false
City of Kherson  (2264,1732)  (2318,1760)  (2341,1811)  (2312,1862)  (2260,1881)  (2206,1846)  (2186,1799)  (2208,1746)  | overflowToLeft=false
Vinnytsya  (1388,1080)  (1441,1094)  (1394,1124)  (1338,1104)  (1335,1061)  (1389,1033)  (1438,1045)  (1443,1141)  | overflowToLeft=false
Kyiv  (1629,622)  (1631,675)  (1644,723)  (1627,576)  (1661,773)  (1675,544)  (1702,823)  (1618,527)  | overflowToLeft=false
Belgorod  (3039,516)  (3088,530)  (3147,508)  (3149,560)  (3205,580)  (3234,637)  (3279,688)  (3284,626)  | overflowToLeft=false
Uzhhorod  (259,1258)  (210,1234)  (256,1203)  (311,1219)  (318,1266)  (286,1318)  (230,1313)  (180,1280)  | overflowToLeft=false
City of Kharkiv  (2804,706)  (2844,734)  (2870,780)  (2859,832)  (2814,860)  (2757,851)  (2725,804)  (2738,741)  | overflowToLeft=false
Zhytomyr  (1359,564)  (1370,504)  (1303,516)  (1306,584)  (1371,616)  (1426,568)  (1427,514)  (1321,453)  | overflowToLeft=false
Zaporizhia  (2837,1587)  (2884,1609)  (2876,1655)  (2829,1643)  (2784,1605)  (2886,1552)  (2927,1650)  (2833,1686)  | overflowToLeft=false
Hungary  (145,1400)  | overflowToLeft=false
Donetsk  (3226,1353)  (3275,1374)  (3226,1402)  (3176,1376)  (3170,1325)  (3226,1306)  (3275,1327)  (3274,1428)  | overflowToLeft=false
Moldova  (1343,1545)  (1295,1522)  (1335,1492)  (1389,1501)  (1403,1546)  (1387,1603)  (1315,1611)  (1288,1564)  | overflowToLeft=false
East Cherkasy  (2103,844)  (2056,828)  (2100,796)  (2148,867)  (2104,887)  (2059,870)  (2157,910)  (2196,918)  | overflowToLeft=false
Voronezh  (3595,611)  (3600,664)  (3640,577)  (3644,621)  (3652,684)  (3609,719)  (3651,738)  (3679,793)  | overflowToLeft=false
Belarus  (1122,89)  (1174,106)  (1234,115)  (1289,106)  (1349,114)  (1410,118)  (1469,116)  (1523,106)  | overflowToLeft=false
East Dnipropetrovsk  (2780,1176)  (2822,1197)  (2779,1224)  (2732,1189)  (2730,1140)  (2828,1152)  (2834,1247)  (2781,1276)  | overflowToLeft=false
Krasnodar Krai  (3373,2126)  (3353,2178)  (3355,2229)  (3406,2179)  (3404,2230)  (3457,2230)  (3459,2177)  (3430,2123)  | overflowToLeft=false
Caucasus  (3497,1519)  (3550,1540)  (3547,1492)  (3607,1507)  (3604,1557)  (3496,1576)  (3446,1597)  (3444,1544)  | overflowToLeft=false
Kirovohrad  (2109,1217)  (2164,1226)  (2151,1275)  (2107,1270)  (2050,1241)  (2063,1193)  (2158,1170)  (2058,1287)  | overflowToLeft=false
Norh Kherson  (2361,1624)  (2335,1583)  (2387,1581)  (2433,1589)  (2404,1623)  (2322,1661)  (2373,1664)  (2367,1702)  | overflowToLeft=false
Rivne  (933,413)  (994,443)  (1006,381)  (943,479)  (928,346)  (1010,502)  (1055,439)  (876,363)  | overflowToLeft=false
Luhansk  (3480,1012)  (3528,1036)  (3483,1053)  (3434,1038)  (3434,996)  (3522,987)  (3529,1084)  (3441,1089)  | overflowToLeft=false
Dnipropetrovsk  (2510,1348)  (2560,1367)  (2509,1395)  (2460,1375)  (2461,1324)  (2519,1300)  (2569,1319)  (2570,1420)  | overflowToLeft=false
